Relevance;Url;Title;02/21/2015;02/22/2015;02/28/2015;03/01/2015;03/02/2015;03/04/2015;03/05/2015;03/06/2015;03/07/2015;03/10/2015;
5;http://www.localconditions.com/weather-alpharetta-georgia/30009/traffic.php;Alpharetta Traffic and Road Conditions - LocalConditions.com;48;48;48;48;0;0;0;0;48;0;
4;http://weather.weatherbug.com/GA/Alpharetta-weather/Alpharetta-traffic.html;Alpharetta, GA Traffic Cameras - WeatherBug.com;47;47;46;47;0;0;0;0;47;0;
5;https://www.here.com/traffic;Traffic.com - Here;46;45;47;46;48;47;47;46;46;46;
2;http://www.bestplaces.net/backfence/viewcomment.aspx?id=3143C619-2731-454B-9F0A-FE293ABE364F&city=Alpharetta_GA;Beautiful city but AWFUL traffic! - Alpharetta - Sperling's Best ...;45;44;44;44;0;0;0;0;42;0;
3;http://alpharetta.ga.us/index.php?p=145;City of Alpharetta Website || Traffic Information;44;46;45;45;0;0;0;0;45;0;
5;http://www.wsbtv.com/s/traffic/;Atlanta Traffic and Road Conditions | Live Traffic Cams ...;43;43;42;42;49;48;48;48;43;48;
5;http://patch.com/georgia/alpharetta/real-time-traffic-information-goes-live-for-alpharett211a7f523e;Check Here for a Live Traffic Update | Alpharetta-Milton, GA ...;42;42;0;0;0;0;0;0;0;0;
1;http://www.imdb.com/title/tt0181865/;Traffic (2000) - IMDb;41;41;41;41;43;42;42;42;41;43;
3;http://www.wsbradio.com/s/traffic/;Atlanta Traffic from the 24-hour WSB Traffic Center | www ...;40;40;40;40;47;46;46;47;40;47;
1;http://en.wikipedia.org/wiki/Traffic_%28band%29;Traffic (band) - Wikipedia, the free encyclopedia;39;39;39;39;40;40;40;40;39;40;
1;http://en.wikipedia.org/wiki/Traffic_%282000_film%29;Traffic (2000 film) - Wikipedia, the free encyclopedia;38;38;38;38;0;0;0;0;38;0;
1;http://en.wikipedia.org/wiki/Traffic;Traffic - Wikipedia, the free encyclopedia;37;37;37;0;39;39;0;0;0;0;
3;http://www.traffic.org/;TRAFFIC - Wildlife Trade News;36;36;36;37;42;41;41;41;37;42;
3;http://www.mapquest.com/traffic/;Traffic - MapQuest;35;35;35;36;41;38;39;39;36;41;
3;http://wtop.com/traffic/;Traffic - WTOP;34;34;34;35;37;37;38;38;35;39;
3;http://www.amazon.com/Traffic-Drive-What-Says-About/dp/0307277194;Traffic - Amazon.com;33;33;33;34;36;36;37;37;34;38;
4;http://www.sigalert.com/;Sigalert.com San Jose/South Bay Traffic Map;32;27;17;0;0;0;0;0;0;29;
2;http://www.whas11.com/traffic/;WHAS11.com | Louisville Traffic, Road Conditions ...;31;0;0;0;0;32;0;0;0;0;
3;http://www.flhsmv.gov/fhp/traffic/crs_h506.htm;Florida Highway Patrol - Traffic;30;23;13;15;16;14;0;18;0;22;
3;http://www.wfmz.com/traffic;WFMZ Traffic | Cams, Reports, Incidents, Accidents ...;29;0;5;8;30;0;0;0;0;0;
3;http://www.wcnc.com/traffic;WCNC.com | Charlotte Traffic Alerts, Incidents, Reports and ...;28;25;30;25;15;22;0;0;26;28;
4;http://philadelphia.cbslocal.com/traffic/;Traffic « CBS Philly - Philadelphia - CBS Philly - CBS Local;27;31;0;0;0;29;0;0;0;34;
4;http://fox2now.com/traffic/;Traffic | FOX2now.com;26;22;11;22;24;18;14;12;15;19;
4;http://www.kare11.com/traffic/;Minneapolis and St. Paul Traffic | Twin Cities | kare11.com;25;11;23;23;26;0;35;32;0;0;
3;http://www.511virginia.org/;Virginia 511 Web;24;30;22;21;23;30;30;0;0;33;
3;http://www.wsdot.com/traffic/;Traffic;23;0;26;27;28;26;31;27;31;32;
3;http://www.nbcwashington.com/traffic;Traffic - Washington, DC - NBCWashington.com;22;0;0;0;0;0;0;0;28;35;
3;http://www.khou.com/traffic/;KHOU | Houston Traffic, Road Conditions - KHOU.com;21;19;29;29;31;33;0;34;32;0;
3;http://www.fhwa.dot.gov/trafficinfo/;National Traffic and Road Closure Information | Federal ...;20;17;20;19;19;23;27;23;21;26;
3;http://www.theindychannel.com/traffic;Indianapolis Traffic | RTV6 TheIndyChannel.com;19;16;0;10;13;13;20;0;0;2;
3;http://www.komonews.com/traffic/;KOMO Seattle Area Traffic | Seattle News, Weather, Sports ...;18;14;0;0;0;0;3;0;4;1;
3;http://www.clickondetroit.com/weather/traffic;Traffic - Detroit - Click On Detroit;17;15;21;20;0;0;34;15;20;25;
3;http://www.mynews13.com/content/news/cfnews13/traffic.html;Orlando Traffic | Florida Traffic Conditions and Accidents ...;16;18;19;18;22;25;0;26;23;0;
3;http://woodtv.com/traffic/;Grand Rapids Traffic Conditions | WOODTV.com;15;13;0;0;0;27;32;17;0;0;
3;http://www.ksl.com/?nid=713;KSL Traffic Center | KSL.com;14;12;0;33;18;0;0;0;0;0;
3;http://www.nbcphiladelphia.com/traffic;Traffic - NBC10.com;13;10;12;0;0;0;24;20;0;17;
3;http://www.wbal.com/traffic;Traffic - WBAL.com;12;0;31;30;0;0;0;0;0;0;
3;http://www.wptv.com/traffic;Traffic - WPTV.com;11;7;0;1;0;0;0;0;0;0;
3;http://www.last.fm/music/Traffic;Traffic – Free listening, videos, concerts, stats and pictures ...;10;5;8;9;12;16;0;0;12;21;
3;http://www.wcvb.com/traffic;Boston area traffic - WCVB.com;9;9;0;0;0;0;0;0;0;0;
3;http://www.cotrip.org/speed.htm;Speeds - Road Conditions, Speeds, Travel Times, Traffic ...;8;8;3;0;2;7;0;0;0;0;
3;http://targetedtraffic.com/;TRAFFIC Conference. Domain investments, portfolios and ...;7;32;9;12;35;19;22;36;9;16;
3;http://www.wthr.com/category/28213/traffic-information-for-indianapolis-and-central-indiana;Traffic - Indianapolis - WTHR.com;6;2;0;0;14;15;0;0;0;9;
3;http://www.nbcchicago.com/traffic;Chicago Traffic, Route Maps, and Congestion Tracking ...;5;4;0;0;0;0;0;16;3;7;
5;http://www.511ga.org/;Georgia 511;4;0;0;0;45;44;44;44;8;45;
3;http://onlinelibrary.wiley.com/journal/10.1111/%28ISSN%291600-0854/issues;Traffic - All Issues - Wiley Online Library;3;0;2;5;6;8;13;4;5;10;
3;http://tomvanderbilt.com/traffic/;Traffic - Tom Vanderbilt;2;1;0;0;3;5;9;0;1;5;
3;http://www.kshb.com/traffic;41 Traffic Now - KSHB.com - Kansas City;1;0;0;0;0;0;0;0;0;0;
3;http://www.king5.com/traffic;Traffic - KING5.com;0;29;24;28;29;28;33;28;27;31;
3;http://www.sigalert.com/Map.asp?region=Orange+County;Sigalert.com Orange County Traffic Map;0;28;0;0;0;0;0;0;0;0;
3;http://www.sigalert.com/map.asp?Region=San+Diego;Sigalert.com San Diego Traffic Map;0;26;0;0;0;35;0;31;0;0;
3;http://www.kgw.com/traffic;kgw.com | Portland, SW Washington Traffic Reports and ...;0;24;7;6;8;12;21;11;14;24;
3;http://www.wsdot.com/traffic/tacoma/;Tacoma Traffic;0;21;25;26;0;0;0;0;0;0;
4;https://smartway.tn.gov/traffic;SmartWay Traffic;0;20;0;0;11;0;0;0;0;11;
3;http://www.buckeyetraffic.org/;Buckeye Traffic;0;6;0;0;4;2;6;5;7;4;
3;http://www.10tv.com/content/sections/traffic/;Traffic - Columbus - WBNS /10tv.com;0;3;0;4;7;0;0;3;0;0;
;http://www.navbug.com/georgia/alpharetta_traffic.htm;Alpharetta Traffic Conditions and Accident Reports;0;0;43;43;0;0;0;0;44;0;
;http://www.kmov.com/traffic;KMOV.com | St Louis Traffic, Road Conditions, STL ... - Saint ...;0;0;32;0;0;0;23;21;25;30;
;http://www.wxyz.com/traffic;Traffic - WXYZ.com;0;0;28;24;25;0;0;0;33;0;
;http://www.katu.com/traffic;KATU Portland Area Traffic | KATU.com - Portland News ...;0;0;27;31;27;24;28;24;24;37;
;http://www.sigalert.com/Details.asp;Sigalert.com Traffic - Pick a City;0;0;18;0;0;0;0;0;0;0;
;http://pittsburgh.cbslocal.com/traffic/;Traffic « CBS Pittsburgh;0;0;16;13;0;0;0;0;0;0;
;http://www.nbc12.com/category/130327/traffic;Traffic - Richmond - NBC12.com;0;0;15;14;0;20;5;35;0;14;
;http://www.kvue.com/traffic/;kvue.com | Austin Traffic, Road Conditions - KVUE.com;0;0;14;16;10;0;26;10;0;0;
;http://abc7news.com/traffic/;San Francisco and Bay Area Traffic | abc7news.com;0;0;10;11;0;10;0;7;0;0;
;http://www.wsmv.com/category/216464/4warn-traffic;4WARN Traffic - WSMV Channel 4 - Nashville;0;0;6;0;0;0;0;22;19;13;
;http://www.wwltv.com/traffic;wwltv.com | New Orleans Traffic, Road Conditions - WWLTV ...;0;0;4;7;9;0;0;0;17;18;
;http://7online.com/traffic/;WABC New York Traffic | 7online.com;0;0;1;3;5;21;25;29;18;23;
;http://www.sigalert.com/map.asp?region=Orange+County;Sigalert.com Orange County Traffic Map;0;0;0;32;33;34;36;30;30;0;
;http://www.nbcdfw.com/traffic;Traffic - NBCDFW.com;0;0;0;17;20;17;0;25;13;20;
;http://www.wbir.com/traffic/;WBIR Traffic - Knoxville;0;0;0;2;0;0;0;0;0;0;
;http://www.myfoxatlanta.com/category/233789/traffic;Traffic - Atlanta News, Weather, Traffic, and Sports | FOX 5;0;0;0;0;46;45;45;45;0;44;
;http://www.11alive.com/traffic/;Traffic |Atlanta News, Weather, Traffic, Sports and ... - 11Alive;0;0;0;0;44;43;43;43;0;0;
;http://en.wikipedia.org/wiki/Web_traffic;Web traffic - Wikipedia, the free encyclopedia;0;0;0;0;38;0;0;0;0;0;
;http://www.ohgo.com/dashboard/cleveland;Ohgo || Real-time Ohio traffic - Cleveland;0;0;0;0;34;0;0;0;29;36;
;http://www.kob.com/traffic/;Albuquerque Traffic | KOB.com;0;0;0;0;32;11;18;9;10;15;
;http://dfw.cbslocal.com/traffic/;Traffic « CBS Dallas / Fort Worth;0;0;0;0;21;0;0;33;22;0;
;http://www.firstcoastnews.com/traffic/;Traffic | Jacksonville, FL | Firstcoastnews.com;0;0;0;0;17;31;16;2;6;8;
;http://trafficinfo.lacity.org/;Real-Time Traffic Conditions for Los Angeles - City of Los ...;0;0;0;0;1;4;8;0;2;6;
;http://www.wgal.com/traffic;Traffic - WGAL.com;0;0;0;0;0;9;19;19;16;12;
;http://www.511pa.com/CameraListing.aspx;Traffic Cameras - 511PA.com;0;0;0;0;0;6;11;14;0;0;
;http://ktla.com/traffic/;Traffic | KTLA;0;0;0;0;0;3;0;0;0;0;
;http://www.internettrafficreport.com/;Network Overview /// Internet Traffic Report;0;0;0;0;0;1;0;0;0;0;
;http://ohgo.com/dashboard/columbus;ODot - Columbus - Ohgo || Real-time Ohio traffic;0;0;0;0;0;0;29;0;0;0;
;http://www.kens5.com/traffic/;kens5.com | San Antonio Traffic, Road Conditions - KENS5 ...;0;0;0;0;0;0;17;0;0;0;
;http://www.511nj.org/;511nj.org :: Home;0;0;0;0;0;0;15;13;11;0;
;http://www.wpxi.com/s/traffic/;WPXI Traffic | www.wpxi.com - Pittsburgh;0;0;0;0;0;0;12;1;0;0;
;http://sanfrancisco.cbslocal.com/traffic/;Traffic « CBS San Francisco;0;0;0;0;0;0;10;0;0;0;
;http://www.pennlive.com/traffic/;Traffic - PennLive.com;0;0;0;0;0;0;7;8;0;0;
;http://www.montgomerycountymd.gov/dot-tmc/;Traffic Cameras - Montgomery County, Maryland;0;0;0;0;0;0;4;0;0;3;
;http://www.wlky.com/traffic;Traffic conditions for Louisville and southern Indiana;0;0;0;0;0;0;2;0;0;0;
;http://seattletimes.com/html/traffic/?from=stnv;Traffic - Seattle - The Seattle Times;0;0;0;0;0;0;1;0;0;0;
;http://hb.511la.org/;Louisiana DOT Traveler Information;0;0;0;0;0;0;0;6;0;0;
;http://www.thedenverchannel.com/traffic;Traffic - Denver - The Denver Channel;0;0;0;0;0;0;0;0;0;27;
